STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-05-11,,14,9,12,9,24,33,29,,,43,43,46,42,44,40,34,28,36,37,30,25,24,19,9,46,30
Bordeaux - Bastide,PM10,2012-05-12,16,14,17,16,14,14,15,16,18,19,18,18,17,21,19,22,24,24,26,21,18,17,17,15,14,26,18
Bordeaux - Bastide,PM10,2012-05-13,13,12,12,10,12,12,14,14,13,15,16,15,14,11,13,16,16,16,17,16,18,15,16,15,10,18,14
Bordeaux - Bastide,PM10,2012-05-14,13,14,15,15,20,22,23,30,28,30,22,21,22,20,19,19,20,29,21,25,21,19,17,16,13,30,21
Bordeaux - Bastide,PM10,2012-05-15,18,16,16,17,17,19,24,23,23,25,24,18,18,29,25,25,22,23,15,13,15,18,18,19,13,29,20
Bordeaux - Bastide,PM10,2012-05-16,19,17,19,21,23,28,38,26,19,18,16,15,18,16,18,21,20,20,17,19,17,16,15,11,11,38,19
Bordeaux - Bastide,PM10,2012-05-17,12,13,10,12,13,16,15,15,17,18,27,31,27,26,31,40,71,51,43,40,27,31,38,33,10,71,27
Bordeaux - Bastide,PM10,2012-05-18,31,33,32,37,37,38,,,,,,,,,,,,,,,,,,,31,38,35
Bordeaux - Bastide,PM10,2012-05-19,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Bastide,PM10,2012-05-20,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Bastide,PM10,2012-05-21,,,,,,,,,,,14,13,17,15,17,21,26,20,18,25,26,23,21,19,13,26,20
Bordeaux - Bastide,PM10,2012-05-22,16,13,13,14,14,13,16,18,16,15,16,15,14,12,11,7,7,8,9,13,16,14,13,14,7,18,13
Bordeaux - Bastide,PM10,2012-05-23,15,18,18,18,18,24,30,27,25,24,25,24,20,26,23,22,23,21,20,19,19,21,22,19,15,30,22
Bordeaux - Bastide,PM10,2012-05-24,18,17,18,20,19,21,44,54,46,41,42,42,42,46,49,53,54,57,64,60,40,23,44,36,17,64,40
Bordeaux - Bastide,PM10,2012-05-25,35,33,34,33,34,39,45,48,46,40,39,38,,,,,,,,,,,,,33,48,39
Bordeaux - Bastide,PM10,2012-05-26,,,,17,28,22,27,29,31,23,19,28,18,13,14,14,16,17,16,15,14,15,14,19,13,31,19
Bordeaux - Bastide,PM10,2012-05-27,18,17,15,16,15,13,13,10,9,7,7,10,9,12,10,7,12,15,16,11,23,20,16,14,7,23,13
Bordeaux - Bastide,PM10,2012-05-28,11,9,9,8,9,9,11,13,13,15,15,17,14,14,16,22,29,27,34,28,19,26,23,19,8,34,17
