NB_PRESTATATION,ANNEE,COMMUNE
482,2011,Commune Coutras
,2011,Commune Coutures
7,2011,Commune Croignon
148,2011,Commune Créon
32,2011,Commune Cubnezais
103,2011,Commune Cubzac les Ponts
40,2011,Commune Cudos
9,2011,Commune Cursan
68,2011,Commune Cussac Fort Médoc
27,2011,Commune Cénac
50,2011,Commune Cérons
73,2011,Commune Cézac
25,2011,Commune Daignac
,2011,Commune Daubeze
8,2011,Commune Dieulivol
31,2011,Commune Donnezac
,2011,Commune Doulezon
13,2011,Commune Escaudes
12,2011,Commune Escoussans
15,2011,Commune Espiet
88,2011,Commune Etauliers
28,2011,Commune Eynesse
53,2011,Commune Eyrans
832,2011,Commune Eysines
13,2011,Commune Faleyras
60,2011,Commune Fargues St Hilaire
69,2011,Commune Fargues de Langon
30,2011,Commune Flaujagues
1100,2011,Commune Floirac
7,2011,Commune Floudes
32,2011,Commune Fontet
,2011,Commune Fosses et Baleyssac
,2011,Commune Fours
6,2011,Commune Francs
51,2011,Commune Fronsac
26,2011,Commune Frontenac
13,2011,Commune Gabarnac
82,2011,Commune Gaillan en Médoc
17,2011,Commune Gajac
107,2011,Commune Galgon
,2011,Commune Gans
16,2011,Commune Gardegan et Tourtirac
37,2011,Commune Gauriac
32,2011,Commune Gauriaguet
15,2011,Commune Generac
38,2011,Commune Genissac
29,2011,Commune Gensac
69,2011,Commune Gironde sur Dropt
,2011,Commune Giscos
20,2011,Commune Gornac
,2011,Commune Goualade
17,2011,Commune Gours
689,2011,Commune Gradignan
50,2011,Commune Grayan et L Hopital
13,2011,Commune Grezillac
49,2011,Commune Grignols
,2011,Commune Guillac
13,2011,Commune Guillos
116,2011,Commune Guitres
596,2011,Commune Gujan Mestras
22,2011,Commune Haux
54,2011,Commune Hostens
148,2011,Commune Hourtin
19,2011,Commune Hure
30,2011,Commune Illats
7,2011,Commune Isle St Georges
119,2011,Commune Izon
45,2011,Commune Jau Dignac et Loirac
,2011,Commune Jugazan
6,2011,Commune Juillac
52,2011,Commune La Brède
41,2011,Commune La Lande de Fronsac
,2011,Commune La Rivière
14,2011,Commune La Roquille
417,2011,Commune La Réole
30,2011,Commune La Sauve
811,2011,Commune La Teste de Buch
23,2011,Commune Labarde
,2011,Commune Labescau
190,2011,Commune Lacanau
7,2011,Commune Ladaux
8,2011,Commune Lados
58,2011,Commune Lagorce
22,2011,Commune Lalande de Pomerol
38,2011,Commune Lamarque
48,2011,Commune Lamothe Landerron
7,2011,Commune Landerrouat
59,2011,Commune Landiras
85,2011,Commune Langoiran
613,2011,Commune Langon
26,2011,Commune Lansac
145,2011,Commune Lanton 
17,2011,Commune Lapouyade
,2011,Commune Laroque
,2011,Commune Lartigue
130,2011,Commune Laruscade
78,2011,Commune Latresne
13,2011,Commune Lavazan
78,2011,Commune Le Barp
725,2011,Commune Le Bouscat
27,2011,Commune Le Fieu
235,2011,Commune Le Haillan
18,2011,Commune Le Nizan
140,2011,Commune Le Pian Médoc
23,2011,Commune Le Pian sur Garonne
58,2011,Commune Le Porge
8,2011,Commune Le Pout
,2011,Commune Le Puy
222,2011,Commune Le Taillan Médoc
170,2011,Commune Le Teich
14,2011,Commune Le Temple
21,2011,Commune Le Tourne
9,2011,Commune Le Tuzan
75,2011,Commune Le Verdon sur Mer
14,2011,Commune Leogeats
26,2011,Commune Lerm et Musset
34,2011,Commune Les Artigues de Lussac
29,2011,Commune Les Billaux
194,2011,Commune Les Eglisottes et Chalaures
6,2011,Commune Les Esseintes
19,2011,Commune Les Lèves et Thoumeyragues
92,2011,Commune Les Peintures
25,2011,Commune Les Salles de castillon
460,2011,Commune Lesparre Médoc
41,2011,Commune Lestiac sur Garonne
1675,2011,Commune Libourne
12,2011,Commune Lignan de Bazas
16,2011,Commune Lignan de Bordeaux
7,2011,Commune Ligueux
62,2011,Commune Listrac Médoc
,2011,Commune Listrac de Dureze
1934,2011,Commune Lormont
7,2011,Commune Loubens
27,2011,Commune Louchats
9,2011,Commune Loupes
36,2011,Commune Loupiac
20,2011,Commune Loupiac de la Réole
,2011,Commune Lucmau
80,2011,Commune Ludon Médoc
6,2011,Commune Lugaignac
,2011,Commune Lugasson
22,2011,Commune Lugon et l Ile du Carney
13,2011,Commune Lugos
52,2011,Commune Lussac
221,2011,Commune Lège Cap Ferret
178,2011,Commune Léognan
114,2011,Commune Macau
6,2011,Commune Madirac
37,2011,Commune Maransin
17,2011,Commune Marcenais
89,2011,Commune Marcheprime 
69,2011,Commune Marcillac
58,2011,Commune Margaux
13,2011,Commune Margueron
,2011,Commune Marimbault
9,2011,Commune Marions
31,2011,Commune Marsas
98,2011,Commune Martignas sur Jalles
43,2011,Commune Martillac
,2011,Commune Martres
,2011,Commune Masseilles
10,2011,Commune Massugas
,2011,Commune Mauriac
24,2011,Commune Mazion
14,2011,Commune Mazères
16,2011,Commune Mesterrieux
167,2011,Commune Mios
9,2011,Commune Mombrier
34,2011,Commune Mongauzy
13,2011,Commune Monprimblanc
61,2011,Commune Monségur
55,2011,Commune Montagne
,2011,Commune Montagoudin
,2011,Commune Montignac
63,2011,Commune Montussan
17,2011,Commune Morizès
,2011,Commune Mouillac
39,2011,Commune Mouliets et Villemartin
32,2011,Commune Moulis en Médoc
22,2011,Commune Moulon
10,2011,Commune Mourens
2305,2011,Commune Mérignac
,2011,Commune Mérignas
32,2011,Commune Naujac sur Mer
10,2011,Commune Naujan et Postiac
,2011,Commune Neuffons
14,2011,Commune Noaillac
54,2011,Commune Noaillan
20,2011,Commune Néac
34,2011,Commune Nérigean
10,2011,Commune Omet
22,2011,Commune Ordonnac
,2011,Commune Origne
36,2011,Commune Paillet
173,2011,Commune Parempuyre
297,2011,Commune Pauillac
50,2011,Commune Pellegrue
2083,2011,Commune Pessac
35,2011,Commune Pessac sur Dordogne
39,2011,Commune Petit Palais et Cornemps
44,2011,Commune Peujard
229,2011,Commune Pineuilh
39,2011,Commune Plassac
7,2011,Commune Pleine Selve
81,2011,Commune Podensac
35,2011,Commune Pomerol
28,2011,Commune Pompignac
,2011,Commune Pompéjac
11,2011,Commune Pondaurat
31,2011,Commune Porchères
51,2011,Commune Portets
144,2011,Commune Preignac
11,2011,Commune Prignac en Médoc
44,2011,Commune Prignac et Marcamps
36,2011,Commune Préchac
72,2011,Commune Pugnac
29,2011,Commune Puisseguin
31,2011,Commune Pujols
14,2011,Commune Pujols sur Ciron
18,2011,Commune Puybarban
12,2011,Commune Puynormand
24,2011,Commune Périssac
71,2011,Commune Queyrac 
37,2011,Commune Quinsac
45,2011,Commune Rauzan
86,2011,Commune Reignac
6,2011,Commune Rimons
11,2011,Commune Riocaud
66,2011,Commune Rions
25,2011,Commune Roaillan
22,2011,Commune Romagne
10,2011,Commune Roquebrune
23,2011,Commune Ruch
83,2011,Commune Sablons
93,2011,Commune Sadirac
7,2011,Commune Saillans
12,2011,Commune Salaunes
42,2011,Commune Salignac
37,2011,Commune Salleboeuf
121,2011,Commune Salles
23,2011,Commune Samonac
27,2011,Commune Saucats
16,2011,Commune Saugon
8,2011,Commune Saumos
25,2011,Commune Sauternes
83,2011,Commune Sauveterre de Guyenne
14,2011,Commune Sauviac
6,2011,Commune Savignac
25,2011,Commune Savignac de l Isle
,2011,Commune Semens
20,2011,Commune Sendets
20,2011,Commune Sigalens
7,2011,Commune Sillas
105,2011,Commune Soulac sur Mer
9,2011,Commune Soulignac
8,2011,Commune Soussac
58,2011,Commune Soussans
,2011,Commune St Aignan
30,2011,Commune St Androny
401,2011,Commune St André de Cubzac
10,2011,Commune St André du Bois
21,2011,Commune St André et Appelles
10,2011,Commune St Antoine
,2011,Commune St Antoine du Queyret
27,2011,Commune St Antoine sur l Isle
